,id,Group,Groop,name,nationality,sex,dob,height,weight,sport,gold,silver,bronze
0,736041664,gr1,gr1,A Jesus Garcia,ESP,male,10/17/69,1.72,64.0,athletics,0,0,0
1,532037425,gr1,gr1,A Lam Shin,KOR,female,9/23/86,1.68,56.0,fencing,0,0,0
2,435962603,gr2,gr2,Aaron Brown,CAN,male,5/27/92,1.98,79.0,athletics,0,0,1
3,521041435,gr2,gr2,Aaron Cook,MDA,male,1/2/91,1.83,80.0,taekwondo,0,0,0
4,33922579,gr1,gr1,Aaron Gate,NZL,male,11/26/90,1.81,71.0,cycling,0,0,0
5,173071782,gr2,gr2,Aaron Royle,AUS,male,1/26/90,1.8,67.0,triathlon,0,0,0
6,266237702,gr1,gr1,Aaron Russell,USA,male,6/4/93,2.05,98.0,volleyball,0,0,1
7,382571888,gr1,gr1,Aaron Younger,AUS,male,9/25/91,1.93,100.0,aquatics,0,0,0
8,87689776,gr1,gr1,Aauri Lorena Bokesa,ESP,female,12/14/88,1.8,62.0,athletics,0,0,0
9,997877719,gr2,gr2,Ababel Yeshaneh,ETH,female,7/22/91,1.65,54.0,athletics,0,0,0
